Model,Accuracy,F1 Macro,F1 Weighted
SVM,0.9906166219839142,0.9906164702330789,0.9906164702330789
Decision Tree,0.8914209115281502,0.8914191555541979,0.8914191555541979
AdaBoost,0.9705093833780161,0.9705074755606671,0.9705074755606671
